YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1955-02-01;--:--;   1104.643;   -999.000;   0
1955-03-01;--:--;    400.323;   -999.000;   0
1955-04-01;--:--;    218.500;   -999.000;   0
1955-05-01;--:--;     94.355;   -999.000;   0
1955-06-01;--:--;    120.333;   -999.000;   0
1955-07-01;--:--;    105.645;   -999.000;   0
1955-08-01;--:--;     59.903;   -999.000;   0
1955-09-01;--:--;     46.967;   -999.000;   0
1955-10-01;--:--;     45.194;   -999.000;   0
1955-11-01;--:--;     55.467;   -999.000;   0
1955-12-01;--:--;    138.484;   -999.000;   0
1956-01-01;--:--;    302.258;   -999.000;   0
1956-02-01;--:--;    254.138;   -999.000;   0
1956-03-01;--:--;    385.645;   -999.000;   0
1956-04-01;--:--;    380.333;   -999.000;   0
1956-05-01;--:--;    229.839;   -999.000;   0
1956-06-01;--:--;    345.000;   -999.000;   0
1956-07-01;--:--;    219.677;   -999.000;   0
1956-08-01;--:--;    126.677;   -999.000;   0
1956-09-01;--:--;    416.500;   -999.000;   0
1956-10-01;--:--;    338.871;   -999.000;   0
1956-11-01;--:--;    314.000;   -999.000;   0
1956-12-01;--:--;    272.903;   -999.000;   0
1957-01-01;--:--;    385.806;   -999.000;   0
1957-02-01;--:--;    807.500;   -999.000;   0
1957-03-01;--:--;    525.806;   -999.000;   0
1957-04-01;--:--;    211.333;   -999.000;   0
1957-05-01;--:--;    162.581;   -999.000;   0
1957-06-01;--:--;    320.333;   -999.000;   0
1957-07-01;--:--;    162.581;   -999.000;   0
1957-08-01;--:--;     61.742;   -999.000;   0
1957-09-01;--:--;     46.167;   -999.000;   0
1957-10-01;--:--;     47.290;   -999.000;   0
1957-11-01;--:--;     68.133;   -999.000;   0
1957-12-01;--:--;    150.419;   -999.000;   0
1958-01-01;--:--;    479.677;   -999.000;   0
1958-02-01;--:--;    528.929;   -999.000;   0
1958-03-01;--:--;    566.452;   -999.000;   0
1958-04-01;--:--;    544.333;   -999.000;   0
1958-05-01;--:--;    361.290;   -999.000;   0
1958-06-01;--:--;    205.333;   -999.000;   0
1958-07-01;--:--;    200.484;   -999.000;   0
1958-08-01;--:--;    108.226;   -999.000;   0
1958-09-01;--:--;    104.133;   -999.000;   0
1958-10-01;--:--;    261.290;   -999.000;   0
1958-11-01;--:--;    490.000;   -999.000;   0
1958-12-01;--:--;    704.194;   -999.000;   0
1959-01-01;--:--;    920.645;   -999.000;   0
1959-02-01;--:--;    327.143;   -999.000;   0
1959-03-01;--:--;    380.645;   -999.000;   0
1959-04-01;--:--;    312.000;   -999.000;   0
1959-05-01;--:--;    369.677;   -999.000;   0
1959-06-01;--:--;    206.000;   -999.000;   0
