date,Q_grdc_m3s,Q_model_raw_m3s,Q_model_annual_fdc_m3s,Q_model_two_season_fdc_m3s,Q_model_four_season_fdc_m3s,month,two_season,four_season
1999-10-29,1604.0,1502.6402587890625,1462.6361236834914,1296.9997770261964,1151.0922919243003,10,jul_dec,herfst
1999-10-30,1697.0,1545.004638671875,1479.833500445742,1314.6996400005378,1168.2613406111896,10,jul_dec,herfst
1999-10-31,1645.0,1572.8377685546875,1492.0368852303413,1328.3566453214696,1179.0295165657212,10,jul_dec,herfst
1999-11-01,1608.0,1587.06787109375,1497.8008568879106,1335.0527531299779,1182.471828643748,11,jul_dec,herfst
1999-11-02,1609.0,1627.929931640625,1515.7629083371028,1354.379963961765,1198.3060091106192,11,jul_dec,herfst
1999-11-03,1624.0,1757.4522705078125,1575.4058350695677,1402.0972847221044,1240.0596320350405,11,jul_dec,herfst
1999-11-04,1614.0,2032.7747802734373,1691.0494805275862,1502.453813229349,1345.1040413908397,11,jul_dec,herfst
1999-11-05,1640.0,2445.827392578125,1850.666218511111,1671.2215984197157,1487.2298371572947,11,jul_dec,herfst
1999-11-06,1664.0,2896.386474609375,2017.419878356874,1807.478858206987,1637.8134806248866,11,jul_dec,herfst
1999-11-07,1717.0,3261.899658203125,2175.637837609635,1930.95893151468,1769.2494915833477,11,jul_dec,herfst
1999-11-08,1741.0,3478.298095703125,2256.590264137868,1989.183344212744,1822.9791805629898,11,jul_dec,herfst
1999-11-09,1718.0,3559.3349609375,2289.02811568684,2013.7142942043229,1844.1969269058936,11,jul_dec,herfst
1999-11-10,1673.0,3564.857421875,2291.5758793060745,2016.6092563396357,1846.0481706613161,11,jul_dec,herfst
1999-11-11,1642.0,3588.593994140625,2302.5266449064316,2029.0523462426331,1854.0051633280252,11,jul_dec,herfst
1999-11-12,1633.0,3731.151123046875,2364.423189735691,2074.6067579333844,1882.2951010076747,11,jul_dec,herfst
1999-11-13,1715.0,4054.357177734375,2500.2274404832965,2168.1260773771573,1947.3880790688213,11,jul_dec,herfst
1999-11-14,1972.0,4523.0087890625,2699.971698935932,2317.3331973141667,2076.4898039995014,11,jul_dec,herfst
1999-11-15,2074.0,5001.12841796875,2906.934625510787,2469.9575969116245,2172.999211761385,11,jul_dec,herfst
1999-11-16,1980.0,5338.3837890625,3050.88168206836,2561.5043984081663,2250.124817159173,11,jul_dec,herfst
1999-11-17,1851.0,5459.23291015625,3098.435783034434,2592.787074358742,2273.726901326317,11,jul_dec,herfst
1999-11-18,1738.0,5386.6533203125,3069.875731357861,2573.9565945460513,2259.5519567937863,11,jul_dec,herfst
1999-11-19,1704.0,5184.5078125,2993.397448959128,2523.300090864693,2218.966455815276,11,jul_dec,herfst
1999-11-20,1649.0,4915.7431640625,2874.0354230360927,2441.0295860027936,2154.310984902221,11,jul_dec,herfst
1999-11-21,1587.0,4619.501953125,2745.2095612311723,2344.4986159003324,2097.302181158449,11,jul_dec,herfst
1999-11-22,1549.0,4358.0458984375,2629.4144665361605,2254.335685367079,2026.0614139291959,11,jul_dec,herfst
1999-11-23,1537.0,4158.00927734375,2541.7653930034503,2199.619561033541,1967.7336267448914,11,jul_dec,herfst
