season,quantile,model_q,grdc_q
lente,0.84,5759.10341796875,3700.7999999999975
lente,0.85,5962.285888671874,3799.8499999999995
lente,0.86,6054.896533203126,3893.54
lente,0.87,6272.491855468749,3992.4799999999996
lente,0.88,6485.3362109375,4070.0800000000004
lente,0.89,6728.565791015625,4180.349999999999
lente,0.9,6904.872607421876,4258.1
lente,0.91,7174.4895654296915,4350.960000000002
lente,0.92,7438.601210937501,4503.0
lente,0.93,7552.916601562501,4775.080000000002
lente,0.9400000000000001,7776.5819140625,4975.08
lente,0.9500000000000001,8281.023583984375,5432.750000000002
lente,0.96,8849.2958203125,5813.32
lente,0.97,9700.964687499993,6307.32999999999
lente,0.98,10882.24595703125,6857.24
lente,0.99,12014.918203124995,7821.55999999999
lente,1.0,14767.439453125,10274.0
zomer,0.0,354.7822265625,892.0
zomer,0.01,450.4414172363281,980.63
zomer,0.02,570.8175061035156,1023.26
zomer,0.03,635.3964862060546,1074.89
zomer,0.04,675.5437768554688,1115.0
zomer,0.05,727.2644836425782,1143.2
zomer,0.06,787.2118579101563,1169.34
zomer,0.07,814.9854760742188,1202.0
zomer,0.08,830.213115234375,1231.08
zomer,0.09,848.360947265625,1258.6799999999998
zomer,0.1,869.7076477050781,1276.3
zomer,0.11,899.7411090087891,1291.93
zomer,0.12,930.9090356445313,1303.56
zomer,0.13,962.8431884765627,1321.38
zomer,0.14,990.1010290527345,1333.0
zomer,0.15,1014.0020690917969,1357.25
zomer,0.16,1047.041552734375,1370.0
zomer,0.17,1074.3539062500001,1381.0
zomer,0.18,1108.5742211914062,1395.34
zomer,0.19,1132.4462329101564,1410.97
zomer,0.2,1158.05546875,1421.6
zomer,0.21,1186.8403173828124,1432.0
zomer,0.22,1213.3619531250001,1443.8600000000001
zomer,0.23,1241.7286096191406,1452.49
zomer,0.24,1269.903056640625,1461.12
zomer,0.25,1294.5346069335938,1470.0
zomer,0.26,1315.9439575195313,1482.38
zomer,0.27,1331.5009936523438,1496.0
zomer,0.28,1364.3053710937502,1507.0
zomer,0.29,1390.6936669921874,1520.27
zomer,0.3,1407.4854614257813,1537.9
zomer,0.31,1439.4157409667969,1551.53
zomer,0.32,1477.4943164062502,1567.0
zomer,0.33,1505.3856799316407,1576.0
zomer,0.34,1530.0818676757813,1595.0
zomer,0.35000000000000003,1558.716455078125,1605.0
zomer,0.36,1591.8514990234376,1619.0
zomer,0.37,1626.129024658203,1633.31
zomer,0.38,1654.0451855468752,1647.0
zomer,0.39,1675.791765136719,1656.0
zomer,0.4,1703.6400634765625,1668.6000000000001
zomer,0.41000000000000003,1733.7218957519533,1679.0
zomer,0.42,1776.8387109374999,1689.46
zomer,0.43,1814.546727294922,1700.0
zomer,0.44,1853.4292236328124,1713.44
zomer,0.45,1896.871026611328,1726.0
zomer,0.46,1923.967060546875,1736.98
zomer,0.47000000000000003,1943.5479858398437,1749.0
zomer,0.48,1966.9282568359374,1763.48
