PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11,Groundwater Recharge
,1.5821734677956556e-06,-4.427202701662303e-11,-9.303741804744803e-12,4.394401509344448e-14,-5.93462123887889e-09,-4.207493731200884e-08,5.731672371931654e-16,2.4228665948533568e-14,-2.2525727810807084e-11,7.286441686561035e-14,0.0,0.9792710962188502
,1.4873126019665506e-06,-4.416869300860604e-11,-9.30188912007246e-12,4.4151314548823706e-14,-2.977069701870505e-09,-4.205975301374565e-08,5.730725283217505e-16,2.429740436626915e-14,-5.472193444905349e-12,7.293972148275304e-14,0.0,0.9206260971217377
,1.3158960427972488e-06,-4.4077328592573295e-11,-3.441098968270939e-12,4.3705490615497666e-14,-5.626233368083433e-10,-4.204320092071612e-08,5.727224390167384e-16,2.4100079570876787e-14,-1.3287800764219537e-12,7.263127951720807e-14,0.0,0.8127621444804586
,1.236870048160199e-06,-4.439675363454576e-11,-5.240899402826626e-13,4.3875493516143393e-14,-1.0628545960011948e-10,-4.202733805414027e-08,5.723375684213298e-16,2.4156458083846033e-14,-3.220759433892467e-13,7.265425105073761e-14,0.0,0.7626203451975728
,1.2595207863341784e-06,-4.4291560002962527e-11,-7.98204885976879e-14,4.435601191898897e-14,-2.0036163700387633e-11,-4.201342207466041e-08,5.719841968636471e-16,2.4337519846651112e-14,-7.748237950766859e-14,7.289505235324664e-14,0.0,0.7771436850427192
,1.2348745030976715e-06,-4.418773333347836e-11,-1.2156884521405051e-14,4.407758880109469e-14,-3.7348028315842274e-12,-4.199862502218821e-08,5.716042496472444e-16,2.4215438682029244e-14,-1.8055210308071633e-14,7.270530342053452e-14,0.0,0.7614309526122838
,1.1927716059290105e-06,-4.408615139617211e-11,-1.85151237874423e-15,4.3983913733391944e-14,-6.538282285376007e-13,-4.1983614806895275e-08,5.712172614694676e-16,2.4162312775577455e-14,-3.61703354916673e-15,7.262106768799598e-14,0.0,0.7345665797958829
,1.1771546724048676e-06,-4.3987678083334814e-11,-2.819729270971019e-16,4.403075126724332e-14,-7.154671142648936e-14,-4.198098935148664e-08,5.708375260113016e-16,2.417619056338527e-14,-1.0959092266077429e-16,7.262404246770673e-14,0.0,0.7245997660233777
,1.1663852319543366e-06,-4.389154317774313e-11,-4.292728235099067e-17,4.4060241566334923e-14,-5.9200386814950434e-09,-4.196328617922518e-08,5.704619198387535e-16,2.4197657766400482e-14,7.420729654744021e-16,7.263042570799724e-14,0.0,0.713957597171705
,1.0346299177399487e-06,-4.3792313525470306e-11,-6.51989135488278e-18,4.316685897620687e-14,-5.918070922206198e-09,-4.196813918611042e-08,5.700025103439865e-16,2.380279133518126e-14,9.48316594284878e-16,7.207692694641624e-14,0.0,0.629851010668245
,1.0325583161829854e-06,-4.369653250346772e-11,-9.749365766509248e-19,4.318073676401468e-14,-5.9158238308043565e-09,-4.194276570501643e-08,5.695518888160472e-16,2.378934722824244e-14,9.977959180196196e-16,7.203267794525167e-14,0.0,0.6285463151362677
,9.577404398442013e-07,-2.482918731727679e-11,-1.304232990906434e-19,4.2846802494889147e-14,-5.913194378592834e-09,-4.1917804338709175e-08,5.6907077410200675e-16,2.3635173679315002e-14,1.0091224425903041e-15,7.178422624116304e-14,0.0,0.5808166596216572
